Round,RemainingEnergy(J)
1,49.954732122602465
2,49.90864843977495
3,49.86052399196049
4,49.814301775520114
5,49.76807059758823
6,49.721528664016624
7,49.67446026770022
8,49.62830571218962
9,49.58224407265103
10,49.53554803538009
11,49.489975247523724
12,49.444374503079786
13,49.39814367728247
14,49.35174735412959
15,49.30544912315745
16,49.25989370802632
17,49.21284742935169
18,49.16686838069471
19,49.12057506143827
20,49.07424170870105
21,49.026505353842715
22,48.98056900912332
23,48.933956784860825
24,48.886655894403006
25,48.83832040439164
26,48.79142226092539
27,48.74474597838193
28,48.698348647110016
29,48.65191354982526
30,48.605160711723784
31,48.55913689981959
32,48.512543778077344
33,48.46688569624638
34,48.420280813345556
35,48.3722970125127
36,48.325889054104024
37,48.27848918349995
38,48.23275760778718
39,48.186408239078126
40,48.13910043006805
41,48.08681115316437
42,48.04064703563479
43,47.99325075416132
44,47.94632473453817
45,47.89898325668773
46,47.85243547866046
47,47.8043378479755
48,47.757877844447364
49,47.7062242144622
50,47.66053424383863
51,47.60124780328626
52,47.55488626354904
53,47.507254205462075
54,47.461488166887115
55,47.415577279467
56,47.36812058521957
57,47.31597233276425
58,47.2702200744827
59,47.222887390028305
60,47.17656568629128
61,47.13021711881527
62,47.08452484986532
63,47.03804057074916
64,46.9923542903894
65,46.945643397745876
66,46.89851762555005
67,46.850678017606604
68,46.803713978695846
69,46.75735515650297
70,46.71069849189907
71,46.66323340424772
72,46.617434201382935
73,46.57159042633974
74,46.52487791878999
75,46.47867923765526
76,46.43251318014452
77,46.385348422121865
78,46.339965407757745
79,46.29257292522314
80,46.245448863441105
81,46.19938107193345
82,46.153128286390555
83,46.10699887158233
84,46.060407768467684
85,46.01405692103406
86,45.967019627606554
87,45.920767260639
88,45.87399527206661
89,45.82794074564932
90,45.78205164070469
91,45.73560839442241
92,45.69050029928768
93,45.64505206373803
94,45.599101726234785
95,45.55272676661737
96,45.50596277650744
97,45.45975938460699
98,45.40103766523979
99,45.35517252447416
100,45.310114830323926
101,45.263276848778105
102,45.217638788010845
103,45.17162493174673
104,45.12583223222444
105,45.07896172508578
106,45.03398296703996
107,44.98756550291202
108,44.939305849784056
109,44.89245274746169
110,44.84725677553718
111,44.800818987442376
112,44.74865464499547
113,44.70224111704868
114,44.65475048126516
115,44.60951484270716
116,44.56266784198337
117,44.51706654993453
118,44.47185539411333
119,44.42548393931706
120,44.379636481083985
121,44.333446103120274
122,44.28255911842737
123,44.234960028847965
124,44.187403256417085
125,44.14171749643513
126,44.09648336243468
127,44.05133935493138
128,44.004363180251126
129,43.958084711497364
130,43.911839085441194
131,43.86606304785716
132,43.81958568799378
133,43.7730239765154
134,43.72741721084236
135,43.68173992161298
136,43.634443119589335
137,43.5872567277465
138,43.54157470866633
139,43.49548306675509
140,43.449521196344854
141,43.40313393721523
142,43.35647198150845
143,43.31052924374549
144,43.264584768195654
145,43.21683293870309
146,43.17172559898134
147,43.12511864747855
148,43.07820542303803
149,43.03157863555353
