Round,RemainingEnergy(J)
1,49.953629307474095
2,49.904251716302305
3,49.85725380902693
4,49.79189672465834
5,49.74311089332432
6,49.69755920080329
7,49.64527509672965
8,49.598926600812284
9,49.55152740945146
10,49.48982217729965
11,49.44412668710638
12,49.37853519317588
13,49.31814784349457
14,49.26050251205314
15,49.198677400672544
16,49.15265304776473
17,49.10525789525672
18,49.05569460371929
19,48.98756610682746
20,48.939931842834554
21,48.8913783873743
22,48.83844379508154
23,48.77128774928866
24,48.725184834196085
25,48.671342265824684
26,48.600377083798215
27,48.55512490263985
28,48.50761039344103
29,48.4601581580355
30,48.41145549019883
31,48.36306940561317
32,48.31413531238675
33,48.26222994754899
34,48.21729026720418
35,48.15546088530433
36,48.11007224618158
37,48.06387385428151
38,48.01848375681049
39,47.96890170467849
40,47.914769398874185
41,47.86250051145753
42,47.809817213847936
43,47.76144863104311
44,47.71135958402973
45,47.65116245486716
46,47.60676212449181
47,47.550728971000474
48,47.50378856603616
49,47.4491665567607
50,47.3921453439805
51,47.32916702171608
52,47.28339263031394
53,47.23355651721867
54,47.18484877128681
55,47.12151281821551
56,47.074143159953806
57,47.027138261588725
58,46.974184149690394
59,46.92702633029928
60,46.8513697332046
61,46.800884902762
62,46.75495465077234
63,46.70016095606709
64,46.637388074063125
65,46.589897186259535
66,46.52346239186702
67,46.464881542584656
68,46.41361315780256
69,46.3604748866249
70,46.315502340983564
71,46.254709704624595
72,46.19923841393937
73,46.14192568817438
74,46.09178998632282
75,46.0314915534553
76,45.97455619466256
77,45.929454571329345
78,45.87816736903459
79,45.82328145551452
80,45.77334390221331
81,45.702227597419004
82,45.63643901289914
83,45.59061524510673
84,45.53256912883987
85,45.48606622298864
86,45.43994998381386
87,45.39380270697561
88,45.34848244148773
89,45.300508662736604
90,45.25023016700766
91,45.19980657931937
92,45.1465786935007
93,45.09628126677001
94,45.04864431883427
95,45.00253155558305
96,44.94156100127663
97,44.88834752043064
98,44.84080822360095
99,44.78130449081027
100,44.73527106400474
101,44.68916132063385
102,44.643957846562095
103,44.58343083268559
104,44.536991554710845
105,44.483199096440664
106,44.431229732435916
107,44.38564247783188
108,44.32124667709679
109,44.26810518589058
110,44.21869337674059
111,44.17332971874787
112,44.11350162758814
113,44.06771097429558
114,44.01632645857154
115,43.963981099192274
116,43.89684942666134
117,43.84637566768462
118,43.78305143015182
119,43.73500267622785
120,43.688480428982366
121,43.64135750411125
122,43.59441289913529
123,43.54282195289566
124,43.485819600459
125,43.43361985915414
126,43.38370383063416
127,43.33337335740586
128,43.269370600754726
129,43.21208155729414
130,43.16482428937725
131,43.119560802017894
132,43.06841426248686
133,43.019117276815166
134,42.96864338910136
135,42.92010025003131
136,42.87491318183507
137,42.823636389759535
138,42.776861509679755
139,42.72744827797807
140,42.659183266000156
141,42.602438219262766
142,42.5466960920008
143,42.49785781634804
144,42.44906625285747
145,42.39862335904179
146,42.349768552959475
147,42.30287735574082
148,42.25580243140797
149,42.20560230949536
150,42.158155723901594
151,42.10968838602598
152,42.05474136886548
153,42.00884046402923
154,41.957636532564734
155,41.9073488007968
156,41.862118283256876
157,41.81732101307201
158,41.76791013857451
159,41.71802104610914
160,41.67078043777875
161,41.60733494237811
162,41.561845695943376
163,41.51145879539096
164,41.4663308175146
165,41.419120505688966
166,41.36297164553813
167,41.31391773750661
168,41.261747982923744
169,41.20460318087921
170,41.155026388756575
171,41.09632257305796
172,41.04905349462094
173,40.97873458402993
174,40.933073314626974
175,40.871905588270174
176,40.81905853513418
177,40.76756205467459
178,40.72074537638588
179,40.66047617916053
180,40.61158772278987
181,40.5663381819743
182,40.51559435555555
183,40.45720767749573
184,40.40720166960989
185,40.35968302805168
186,40.30394214197191
187,40.258491479326075
188,40.21243765921495
189,40.15942735339569
190,40.10812173309201
191,40.05725301985928
192,40.008754664110995
193,39.96228458222484
194,39.91592382363514
195,39.8688632497714
196,39.82064794244505
197,39.77607060546816
198,39.717786294911846
199,39.667397308512356
200,39.62176725407838
201,39.56176628395711
202,39.51434687752052
203,39.462752437975254
204,39.41315273536485
205,39.358991783866564
206,39.31079635316899
207,39.263453275264276
208,39.214584116895495
209,39.165234071091795
210,39.11654953748598
211,39.06570720399971
212,38.99970825369045
213,38.95266054985866
214,38.90763151286217
215,38.85960010982052
216,38.81204450966737
217,38.76591719040425
218,38.7141397254695
219,38.654364848397016
220,38.60932549851201
221,38.56171798244624
222,38.514967888396534
223,38.463142141605545
224,38.41470815945743
225,38.36723424884258
226,38.31960010270679
227,38.2690407196096
228,38.21741652599745
229,38.15752593253044
230,38.10210442314261
231,38.054569461770555
232,38.00424082066395
233,37.95410783068774
234,37.90309420064035
235,37.85700201935924
236,37.81157665871716
237,37.7654642740873
238,37.718228783479205
239,37.66878488495828
240,37.60998851785813
241,37.562229688921086
242,37.5146828068515
243,37.46934300342408
244,37.42365158710726
245,37.363504138878156
246,37.31199870124955
247,37.26051274355921
248,37.20965619610157
249,37.16059103762168
250,37.10977849447342
251,37.05534366539245
252,36.99397888983798
253,36.947085817297115
254,36.90164969872023
255,36.85269853769698
256,36.80559647835554
257,36.75518886657206
258,36.691477582652126
259,36.63267237328316
260,36.58078226571831
261,36.53573531138267
262,36.4872737224148
263,36.43933439985227
264,36.391527076620825
265,36.34324117351603
266,36.297551777445904
267,36.24939207928594
268,36.20288706888761
269,36.15679500101587
270,36.09953242392875
271,36.0504587151061
272,36.00415842248658
273,35.94704420382754
274,35.90113294429625
275,35.85459792567619
276,35.80801926711118
277,35.75360161425779
278,35.707683524539775
279,35.65970499193775
280,35.61418251203431
281,35.566910900271026
282,35.52121880838755
283,35.47441502331783
284,35.42664224131595
285,35.36925686688759
286,35.31756307248064
287,35.26918379237443
288,35.221296607019084
289,35.175076793824786
290,35.12909939149205
291,35.07830570275635
292,35.026449412743304
293,34.96148572139045
294,34.91192405541092
295,34.864463610410425
296,34.81942921391441
297,34.75721547720654
298,34.710716711856975
